Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2022-10-01","3,159","11,965","9.55","9","748","206","37","31","1,482"
"2022-10-02","2,975","8,901","7.12","13","779","226","12","14","1,260"
"2022-10-03","3,660","13,004","10.53","14","752","299","24","39","2,015"
"2022-10-04","3,780","12,915","10.27","17","622","229","78","48","2,123"
"2022-10-05","3,525","14,711","11.71","21","609","305","35","37","1,986"
"2022-10-06","3,613","13,924","11.05","19","792","330","27","37","2,036"
"2022-10-07","4,347","16,475","12.87","20","640","301","104","73","2,905"
"2022-10-08","2,357","3,018","2.41","0","1,273","42","23","16","499"
"2022-10-09","3,646","15,122","12.19","4","758","191","76","61","1,983"
"2022-10-10","4,649","19,915","15.93","27","567","301","122","102","3,296"
"2022-10-11","4,007","16,919","13.5","16","694","210","119","69","2,444"
"2022-10-12","3,664","12,193","9.73","17","687","382","34","11","2,155"
"2022-10-13","4,101","15,559","12.45","24","605","342","73","59","2,661"
"2022-10-14","3,463","12,957","10.28","22","761","278","35","9","1,818"
"2022-10-15","2,856","7,986","6.36","9","835","127","5","48","1,093"
"2022-10-16","3,592","12,471","9.98","6","767","213","49","59","1,926"
"2022-10-17","3,654","12,215","9.67","15","640","375","14","8","2,088"
"2022-10-18","3,561","11,313","9.05","15","744","281","55","24","1,904"
"2022-10-19","3,675","11,105","8.86","23","686","348","38","15","2,115"
"2022-10-20","3,582","11,900","9.51","23","608","294","40","26","1,935"
"2022-10-21","3,607","14,248","11.4","11","755","316","29","28","1,965"
"2022-10-22","3,224","10,070","8.06","11","721","180","27","49","1,452"
"2022-10-23","2,917","7,128","5.7","0","890","200","32","9","1,188"
"2022-10-24","4,062","17,027","13.62","21","625","340","62","40","2,517"
"2022-10-25","4,353","18,627","14.9","23","480","456","46","37","2,967"
"2022-10-26","3,798","18,768","14.98","17","653","251","52","56","2,161"
"2022-10-27","4,361","15,447","12.41","25","515","392","93","42","2,994"
"2022-10-28","3,573","15,257","12.21","18","660","362","20","12","2,014"
"2022-10-29","2,925","9,079","7.26","4","837","151","26","45","1,212"
"2022-10-30","1,921","0","0","0","1,440","0","0","0","0"
"2022-10-31","2,667","15,230","12.13","16","1,440","0","0","0","0"

