Date,overall,sociability,health,happiness,energy,positivity,moment,uniqueness,excitement,productivity,integrity,purpose,bottles drank,times peed,time slept,time awaked,total sleep time,effectiveness (Am I SPENDING the RIGHT TIME),Sleep Min,Sleep Hr,Awake Hr,% of planned output,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,Time slept,Time woken,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep,scrobbles
2022-04-13,9.0,8.5,9.5,9.0,9.5,,,,,,,,,,6.3,,,,20.0,6.0,,,"3,568","13,710",10.69,10,465,238,17,73,"1,996",4:08AM,2:55PM,570.0,77.0,28.0,647.0,121.0,350.0,99.0,44.0
2022-04-14,,,,,,,,,,,,,,,,,,,,,,,"3,387","13,668",10.73,12,727,228,7,78,"1,836",6:51AM,1:31PM,355.0,45.0,20.0,400.0,77.0,223.0,55.0,41.0
2022-04-15,8.7,8.0,9.0,8.4,8.0,,,,,,,,,,,,,,,,,,"2,586","4,868",3.82,4,759,185,7,2,879,7:10AM,3:17PM,424.0,63.0,22.0,487.0,63.0,296.0,65.0,91.0
2022-04-16,8.6,8.0,8.6,8.5,8.0,8.9,,,,,,,,,6.8,,,,45.0,6.0,,,"2,569","4,921",3.86,1,969,177,0,0,792,6:44AM,11:38AM,260.0,34.0,11.0,294.0,33.0,172.0,55.0,68.0
2022-04-17,,,,,,,,,,,,,,,7.3,13.5,6.2,,20.0,7.0,13.0,,"3,226","11,144",8.74,13,736,254,3,26,"1,585",6:55AM,1:56PM,374.0,47.0,22.0,421.0,109.0,199.0,66.0,81.0
2022-04-18,8.7,,8.9,8.6,9.6,,,,,,,,,,6.8,11.9,5.1,,50.0,6.0,11.0,,"2,883","7,368",5.74,6,787,238,14,0,"1,201",7:24AM,2:05PM,369.0,32.0,18.0,401.0,68.0,204.0,97.0,97.0
2022-04-19,,,,,,,,,,,,,,,5.8,11.8,6.0,,45.0,5.0,11.0,,"4,097","17,511",13.69,40,709,276,70,90,"2,720",7:00AM,11:55AM,271.0,24.0,16.0,295.0,64.0,151.0,56.0,123.0
2022-04-20,8.2,,,,,,,,,,,,,,,,,,,,,,"3,363","9,693",7.61,14,709,222,58,21,"1,690",6:20AM,1:30PM,373.0,57.0,17.0,430.0,102.0,234.0,37.0,135.0
2022-04-21,,,,,,,,,,,,,,,,,,,,,,,"5,044","25,268",19.82,19,609,246,72,216,"3,741",5:57AM,10:54AM,260.0,37.0,15.0,297.0,47.0,154.0,59.0,168.0
2022-04-22,8.7,9.0,9.0,8.5,8.0,,,,,,,,,,,,,,,,,,"2,585","5,541",4.35,8,"1,272",153,8,7,852,,,,,,,,,,72.0
2022-04-23,,,,,,,,,,,,,,,,,,,,,,,"2,691","7,669",6.0,5,"1,284",102,24,30,942,,,,,,,,,,
2022-04-24,,,,,,,,,,,,,,,,,,,,,,,"2,896","8,019",6.32,4,790,214,10,16,"1,207",12:25PM,7:15PM,364.0,46.0,22.0,410.0,75.0,231.0,58.0,
2022-04-25,,,,,,,,,,,,,,,,,,,,,,,"2,937","6,980",5.47,3,"1,170",262,6,2,"1,231",,,,,,,,,,109.0
2022-04-26,,,,,,,,,,,,,,,,,,,,,,,"3,852","15,601",12.2,7,801,222,78,79,"2,332",11:40PM,4:00AM,247.0,13.0,8.0,260.0,42.0,177.0,28.0,178.0
2022-04-27,,,,,,,,,,,,,,,,,,,,,,,"3,855","12,663",9.94,8,615,316,86,50,"2,484",12:57AM,3:59AM,165.0,16.0,10.0,181.0,24.0,106.0,35.0,78.0
2022-04-28,9.6,9.5,9.0,9.6,8.8,8.0,,,,,,,,,5.6,,,,35.0,5.0,,,"4,556","20,359",16.1,22,724,312,100,106,"3,224",6:33AM,9:51AM,176.0,22.0,8.0,198.0,51.0,95.0,30.0,68.0
2022-04-29,,,,,,,,,,,,,,,,,,,,,,,"3,502","13,385",10.51,15,694,383,15,1,"2,044",5:44AM,11:31AM,304.0,43.0,12.0,347.0,72.0,200.0,32.0,75.0
2022-04-30,,,,,,,,,,,,,,,4.2,9.0,4.8,,10.0,4.0,9.0,,"4,158","22,128",17.4,44,591,293,84,95,"2,819",5:56AM,12:13PM,340.0,37.0,12.0,377.0,75.0,257.0,8.0,62.0
2022-05-01,9.9,9.7,9.5,10.0,9.5,,,,,,,,,,,,,,0.0,2.0,,,"4,488","22,302",17.49,133,629,327,68,115,"3,166",4:07AM,9:08AM,266.0,35.0,8.0,301.0,71.0,144.0,51.0,98.0
2022-05-02,,,,,,,,,,,,,,,,,,,,,,,"4,030","16,149",12.6,9,489,483,52,18,"2,791",2:11AM,8:50AM,361.0,37.0,12.0,398.0,107.0,200.0,54.0,66.0
2022-05-03,8.1,8.0,8.7,8.0,7.5,8.4,,,,8.5,,,3.0,2.0,11.8,,,7.8,45.0,11.0,,70.0,"4,214","20,197",15.81,11,575,423,25,76,"2,878",2:27AM,8:08AM,324.0,17.0,3.0,341.0,,,,78.0
2022-05-04,,,,,,,,,,,,,,,11.8,7.5,-4.3,,45.0,11.0,7.0,,"2,955","9,127",7.16,7,717,272,9,19,"1,364",1:29AM,8:32AM,394.0,29.0,20.0,423.0,104.0,235.0,55.0,57.0
2022-05-05,8.9,9.3,9.5,8.6,9.6,9.5,,,,9.0,,,5.0,5.0,11.3,,,7.5,15.0,11.0,,80.0,"3,239","9,620",7.68,9,666,283,13,21,"1,600",11:51PM,7:28AM,404.0,53.0,23.0,457.0,62.0,285.0,57.0,66.0
2022-05-06,9.2,9.3,9.0,8.5,9.6,9.3,,,,,,,4.0,5.0,3.3,,,,15.0,3.0,,,"4,311","14,968",11.79,26,675,289,94,86,"2,923",12:26AM,5:22AM,275.0,21.0,11.0,296.0,78.0,158.0,39.0,125.0
2022-05-07,,9.6,,,8.0,,,,,,,,3.0,2.0,,,,,,,,,"4,657","17,875",14.03,16,556,207,167,130,"3,343",2:57AM,9:17AM,333.0,47.0,13.0,380.0,94.0,204.0,35.0,81.0
2022-05-08,9.0,8.9,8.0,8.9,9.3,9.0,,,,9.0,,,5.0,4.0,2.1,,,8.0,5.0,2.0,,100.0,"3,367","8,734",6.86,6,748,302,21,12,"1,704",1:36AM,7:33AM,354.0,3.0,0.0,357.0,,,,13.0
2022-05-09,8.7,9.5,8.5,8.8,8.0,,,,,7.7,,,3.0,5.0,1.3,,,7.5,20.0,1.0,,80.0,"3,599","12,619",9.85,3,737,244,93,38,"2,073",2:08AM,7:36AM,296.0,32.0,18.0,328.0,86.0,159.0,51.0,
2022-05-10,7.6,9.5,7.0,7.7,8.0,8.0,,,,9.0,,,4.0,5.0,,,,6.0,0.0,4.0,,,"3,089","8,230",6.46,7,699,252,9,6,"1,382",1:24AM,9:19AM,430.0,44.0,25.0,474.0,98.0,286.0,46.0,29.0
2022-05-11,,8.2,9.0,9.3,8.6,,,,,7.0,,,5.0,4.0,,,,,,,,,"4,714","22,419",17.57,21,672,192,72,195,"3,308",3:53AM,9:03AM,278.0,31.0,14.0,309.0,59.0,153.0,66.0,165.0
2022-05-12,7.6,8.7,7.0,7.0,8.0,7.5,,,,,,,,,2.8,,,,45.0,2.0,,,"4,000","15,492",12.12,37,611,227,73,84,"2,448",12:35AM,8:00AM,398.0,47.0,23.0,445.0,111.0,203.0,84.0,36.0
2022-05-13,8.0,9.0,7.0,8.2,8.0,8.3,,,,,,,,,4.1,,,,6.0,4.0,,,"2,884","10,008",7.86,5,826,116,14,64,"1,208",2:43AM,9:43AM,366.0,54.0,23.0,420.0,60.0,238.0,68.0,104.0
2022-05-14,,9.3,,8.8,8.5,,,,,,,,4.0,3.0,,,,,,,,,"3,840","16,590",12.97,31,679,306,49,59,"2,411",4:09AM,9:57AM,308.0,39.0,16.0,347.0,87.0,142.0,79.0,100.0
2022-05-15,9.3,9.4,8.8,,9.0,9.5,,,,,,,2.0,,0.9,,,,55.0,0.0,,,"4,255","18,629",14.57,15,625,429,43,58,"2,948",4:15AM,9:01AM,259.0,26.0,12.0,285.0,72.0,134.0,53.0,82.0
2022-05-16,9.0,9.6,9.2,9.3,9.0,9.3,,,,,,,4.0,6.0,1.3,,,,15.0,1.0,,,"4,120","14,612",11.47,9,548,318,100,52,"2,738",12:56AM,7:58AM,373.0,49.0,22.0,422.0,102.0,224.0,47.0,39.0
2022-05-17,8.1,8.7,7.5,8.5,8.2,7.0,,,,,,,5.0,5.0,4.1,10.0,5.9,,5.0,4.0,10.0,,"3,069","9,434",7.41,7,752,260,12,3,"1,413",1:25AM,8:19AM,373.0,40.0,12.0,413.0,85.0,257.0,31.0,87.0
2022-05-18,9.1,9.3,9.1,9.3,8.5,9.6,,,,7.0,,,5.0,5.0,1.8,,,7.0,45.0,1.0,,70.0,"4,245","18,223",14.31,15,664,240,68,127,"2,834",4:15AM,9:56AM,304.0,37.0,14.0,341.0,97.0,191.0,16.0,184.0
2022-05-19,8.0,7.9,8.0,8.0,8.0,8.7,,,,,,,4.0,6.0,12.8,,,,45.0,12.0,,,"3,117","9,992",7.81,9,786,255,21,17,"1,477",1:52AM,7:53AM,333.0,27.0,1.0,361.0,,,,58.0
2022-05-20,9.2,9.0,8.9,9.4,,8.7,,,,,,,,,4.8,,,,45.0,4.0,,,"4,282","21,110",16.39,54,581,267,39,125,"2,849",12:51AM,7:59AM,380.0,48.0,20.0,428.0,99.0,231.0,50.0,82.0
2022-05-21,8.2,8.5,7.7,8.7,8.0,7.9,,,,,,,,,,,,,0.0,3.0,,,"4,216","18,705",14.65,27,671,263,62,104,"2,732",4:49AM,10:29AM,328.0,12.0,2.0,340.0,,,,50.0
2022-05-22,8.1,,8.0,8.6,8.8,8.7,,,,9.0,,,3.0,4.0,12.6,7.8,-4.8,7.8,35.0,12.0,7.0,,"2,608","4,594",3.61,3,881,188,16,3,885,3:06AM,8:58AM,348.0,4.0,1.0,352.0,,,,150.0
2022-05-23,8.6,8.0,7.9,8.7,7.4,,,,,,,,,,2.4,,,,25.0,2.0,,,"4,090","17,344",13.6,13,584,232,98,96,"2,629",12:36AM,7:46AM,376.0,54.0,23.0,430.0,94.0,234.0,48.0,94.0
2022-05-24,9.0,9.5,9.1,9.2,8.2,9.6,,,,7.8,,,5.5,,12.9,8.3,-4.6,,55.0,12.0,8.0,,"3,298","10,891",8.55,8,748,257,23,26,"1,642",2:31AM,8:57AM,341.0,45.0,18.0,386.0,71.0,208.0,62.0,39.0
2022-05-25,8.3,8.3,8.7,,,8.0,,,,,,,3.5,5.0,1.8,8.0,6.2,,50.0,1.0,8.0,,"3,601","16,626",13.05,7,713,222,32,109,"2,108",12:55AM,6:59AM,320.0,44.0,16.0,364.0,65.0,232.0,23.0,89.0
2022-05-26,9.5,9.7,9.0,9.5,9.0,9.8,,,,,,,5.0,5.0,1.5,7.8,6.3,,30.0,1.0,7.0,,"3,480","13,075",10.23,4,729,262,38,49,"1,933",1:51AM,7:53AM,341.0,20.0,1.0,362.0,,,,82.0
2022-05-27,9.2,9.3,9.5,9.1,9.2,9.5,,,,,,,5.0,4.0,2.3,,,,20.0,2.0,,,"4,658","16,519",12.88,14,568,223,137,136,"3,294",1:35AM,7:51AM,338.0,38.0,23.0,376.0,57.0,188.0,93.0,63.0
2022-05-28,9.7,9.6,9.4,9.7,9.5,9.8,,,,,,,6.0,4.0,4.5,10.8,6.3,,30.0,4.0,10.0,,"4,915","23,924",18.77,27,566,218,156,172,"3,690",2:27AM,7:55AM,289.0,39.0,16.0,328.0,31.0,217.0,41.0,74.0
2022-05-29,7.5,,8.0,7.3,6.0,8.3,,,,,,,5.0,5.0,0.1,6.0,5.9,,5.0,0.0,6.0,,"3,510","11,109",8.72,58,710,243,47,42,"1,871",4:15AM,10:53AM,351.0,47.0,13.0,398.0,96.0,210.0,45.0,114.0
2022-05-30,9.1,9.0,8.0,9.0,7.5,9.3,,,,9.0,,,,,1.4,,,7.7,25.0,1.0,,90.0,"3,225","10,334",8.06,12,808,218,39,30,"1,538",12:13AM,5:58AM,313.0,32.0,15.0,345.0,62.0,220.0,31.0,135.0
2022-05-31,8.5,8.0,8.0,8.4,7.5,8.3,,,,9.0,,,,,12.6,,,8.0,35.0,12.0,,90.0,"3,686","10,201",7.96,9,697,293,64,30,"2,155",1:29AM,7:25AM,309.0,47.0,18.0,356.0,91.0,163.0,55.0,47.0
2022-06-01,9.3,9.4,9.2,9.0,8.8,9.4,,,,,,,,,12.7,7.0,-5.7,,42.0,12.0,7.0,,"3,943","15,076",11.83,22,628,274,102,56,"2,511",12:40AM,7:00AM,321.0,59.0,10.0,380.0,99.0,196.0,26.0,120.0
2022-06-02,8.6,9.7,8.0,8.6,8.0,9.0,,,,,,,,,11.4,,,,25.0,11.0,,,"2,989","7,760",6.09,7,812,238,18,6,"1,330",12:46AM,6:52AM,342.0,24.0,17.0,366.0,71.0,231.0,40.0,106.0
2022-06-03,9.0,9.4,8.5,8.6,7.8,,,,,,,,,,,,,,,,,,"5,054","28,192",22.06,70,457,379,116,126,"3,872",11:26PM,5:28AM,318.0,44.0,18.0,362.0,64.0,178.0,76.0,65.0
2022-06-04,8.7,8.3,8.0,8.5,8.0,8.0,,,,,,,8.0,6.0,,,,,,3.0,,,"3,518","14,331",11.25,11,703,155,62,85,"1,965",2:21AM,9:37AM,396.0,39.0,14.0,435.0,101.0,215.0,80.0,70.0
2022-06-05,8.8,8.2,9.2,8.7,9.0,8.9,,,,,,,,,1.5,,,,30.0,1.0,,,"3,385","13,455",10.5,2,645,301,10,34,"1,818",2:57AM,10:27AM,399.0,51.0,22.0,450.0,70.0,290.0,39.0,84.0
2022-06-06,8.6,8.0,9.3,8.6,9.0,9.5,,,,9.0,,,4.0,4.0,1.3,,,9.0,15.0,1.0,,100.0,"2,929","8,840",6.94,3,799,200,29,24,"1,281",1:32AM,8:00AM,343.0,45.0,19.0,388.0,68.0,224.0,51.0,98.0
2022-06-07,9.2,8.6,9.7,9.6,8.8,9.5,,,,,,,,,,,,,,,,,"4,540","20,989",16.41,38,561,312,89,109,"3,251",1:21AM,7:30AM,320.0,49.0,13.0,369.0,73.0,193.0,54.0,96.0
2022-06-08,8.6,8.8,8.0,8.6,8.3,7.8,,,,9.0,,,,,12.8,,,6.0,45.0,12.0,,,"3,175","8,239",6.47,14,845,219,38,25,"1,512",1:45AM,6:58AM,281.0,32.0,1.0,313.0,,,,101.0
2022-06-09,8.5,9.0,8.0,8.5,8.8,9.0,,,,,,,6.0,4.0,2.4,,,,25.0,2.0,,,"3,698","13,096",10.21,9,629,219,71,70,"2,147",12:48AM,8:19AM,379.0,72.0,29.0,451.0,77.0,249.0,53.0,87.0
2022-06-10,8.8,9.4,8.0,8.6,8.5,,,,,,,,6.0,4.0,,,,6.0,,1.0,,,"3,918","17,629",13.81,19,715,235,70,85,"2,426",2:26AM,8:01AM,297.0,38.0,16.0,335.0,43.0,212.0,42.0,159.0
2022-06-11,8.0,8.0,8.9,8.1,8.5,8.5,,,,9.0,,,6.0,6.0,1.5,8.0,6.5,8.0,30.0,1.0,8.0,,"2,974","8,968",7.04,11,736,234,35,9,"1,350",12:50AM,7:56AM,381.0,45.0,23.0,426.0,91.0,236.0,54.0,
2022-06-12,9.2,9.4,8.7,9.0,7.7,9.0,,,,7.8,,,6.0,5.0,2.5,,,7.0,30.0,2.0,,,"2,512","4,903",3.85,5,908,160,0,0,758,1:45AM,7:58AM,328.0,44.0,27.0,372.0,42.0,249.0,37.0,
2022-06-13,9.5,9.3,9.5,9.3,9.0,9.7,,,,,,,,,1.6,,,,35.0,1.0,,,"3,704","16,648",12.99,18,636,313,39,43,"2,201",2:24AM,9:14AM,361.0,48.0,16.0,409.0,97.0,212.0,52.0,102.0
2022-06-14,9.3,8.6,9.4,9.0,8.0,,,,,9.0,,,,,,,,7.9,,,,,"4,754","22,969",18.03,36,712,270,204,88,"3,459",1:38AM,4:24AM,157.0,6.0,1.0,166.0,,,,92.0
2022-06-15,8.6,9.0,8.4,8.7,7.8,8.0,,,,8.8,,,,,,,,7.6,,,,,"3,876","20,714",16.26,48,717,179,46,125,"2,376",12:44AM,6:57AM,345.0,28.0,15.0,373.0,73.0,229.0,43.0,106.0
2022-06-16,9.4,9.0,,,,,,,,,,,,,,,,,,,,,"4,277","19,353",14.71,31,631,218,40,134,"2,750",1:06AM,8:03AM,403.0,14.0,2.0,417.0,,,,55.0
2022-06-17,7.8,8.8,7.0,8.1,7.3,,,,,,,,,,,,,,,,,,"3,729","13,449",10.73,18,683,231,59,68,"2,154",2:18AM,8:28AM,332.0,38.0,21.0,370.0,56.0,231.0,45.0,30.0
2022-06-18,8.5,8.8,7.8,8.3,8.9,7.5,,9.3,,,,,,,,,,6.0,,,,,"5,375","30,915",24.23,12,485,271,247,139,"4,285",11:30PM,4:58AM,301.0,27.0,2.0,328.0,,,,28.0
2022-06-19,8.7,9.0,8.7,8.7,8.4,9.0,,8.7,,8.0,,,,,,,,8.0,,,,,"4,747","28,281",22.2,10,477,343,196,72,"3,614",11:20PM,5:12AM,310.0,42.0,18.0,352.0,56.0,204.0,50.0,46.0
2022-06-20,8.1,8.0,7.8,9.0,7.9,8.3,,7.0,,9.0,,,6.0,5.0,,,,7.0,,,,,"2,958","9,914",7.75,4,740,200,12,45,"1,345",11:10PM,6:33AM,398.0,45.0,20.0,443.0,114.0,235.0,49.0,154.0
2022-06-21,9.4,9.4,9.2,9.6,9.0,9.7,,9.6,,,,,,,,,,,,,,,"3,942","15,878",12.38,34,687,336,65,39,"2,516",12:16AM,5:30AM,311.0,2.0,0.0,313.0,,,,79.0
2022-06-22,7.5,8.1,7.7,8.0,7.8,7.9,,8.8,,,,,,,,,,,,,,,"3,823","21,936",17.2,29,640,221,58,102,"2,373",1:37AM,8:36AM,385.0,34.0,20.0,419.0,67.0,273.0,45.0,38.0
2022-06-23,8.6,8.0,8.0,8.0,8.0,8.0,,8.7,,,,,,,,,,,,,,,"4,458","24,909",19.55,27,637,241,67,152,"3,075",3:08AM,8:51AM,318.0,25.0,14.0,343.0,79.0,176.0,63.0,47.0
2022-06-24,9.0,9.0,8.5,8.8,8.6,8.8,,9.1,,8.7,,,,,12.2,,,7.1,10.0,12.0,,,"3,613","17,411",13.6,13,624,279,33,69,"2,158",2:18AM,9:33AM,388.0,47.0,17.0,435.0,73.0,250.0,65.0,117.0
2022-06-25,9.1,8.7,8.8,8.9,8.0,7.6,,9.2,,,,,,,11.2,,,,10.0,11.0,,,"6,230","33,868",26.59,21,382,268,360,172,"5,359",12:19AM,4:37AM,251.0,7.0,1.0,258.0,,,,38.0
2022-06-26,,9.0,9.3,9.3,8.7,8.4,,9.3,,,,,,,,,,,,,,,"5,995","37,078",29.17,25,292,266,392,116,"5,015",10:54PM,5:09AM,336.0,38.0,15.0,374.0,48.0,237.0,51.0,39.0
2022-06-27,9.0,9.5,8.0,9.0,9.5,9.0,,9.3,,8.0,,,,,,,,6.0,,,,,"4,229","22,319",17.79,12,578,216,77,135,"2,783",1:26AM,8:40AM,382.0,52.0,21.0,434.0,93.0,244.0,45.0,75.0
2022-06-28,9.2,8.8,8.5,9.3,9.3,8.3,7.0,9.5,,,,,,,,,,,,,,,"3,164","9,054",7.24,17,805,285,16,5,"1,491",4:08AM,9:38AM,295.0,34.0,15.0,329.0,33.0,236.0,26.0,128.0
2022-06-29,8.5,8.0,8.0,8.2,8.3,7.8,8.0,88.0,,,,,,,,,,7.0,,,,,"3,665","14,628",11.61,9,722,312,44,27,"2,121",5:24AM,10:59AM,302.0,33.0,14.0,335.0,62.0,190.0,50.0,114.0
2022-06-30,8.9,,8.4,8.5,7.5,,,9.5,,,,,,,,,,,,,,,"4,901","13,625",10.74,15,618,407,116,57,"3,296",4:56AM,8:58AM,235.0,4.0,1.0,242.0,,,,109.0
2022-07-01,,,,,,,,,,,,,,,,,,,,,,,"4,901","13,625",10.74,15,648,288,91,16,"2,225",5:43PM,10:42PM,264.0,35.0,20.0,299.0,52.0,155.0,57.0,66.0
2022-07-02,8.8,8.3,8.5,8.6,8.0,8.4,7.8,9.6,,,,,,,,,,,,,,,"3,894","11,644",9.16,7,674,412,48,13,"2,409",5:57PM,10:50PM,281.0,12.0,0.0,293.0,,,,17.0
2022-07-03,8.1,8.0,8.7,8.2,7.0,8.6,8.5,7.7,,8.8,,,,,,,,7.6,,,,,"2,445","3,075",2.41,2,"1,302",130,8,0,662,,,,,,,,,,71.0
2022-07-04,7.9,,7.9,8.0,6.8,8.0,8.3,7.4,,9.4,,,,,,,,8.0,,,,,"2,556","5,688",4.55,1,849,161,15,8,822,10:09PM,4:57AM,352.0,55.0,18.0,407.0,92.0,183.0,77.0,149.0
2022-07-05,9.5,9.0,9.6,9.6,9.5,9.1,9.4,9.6,,,,,,,,,,,,,,,"4,060","13,035",10.43,8,515,386,66,32,"2,619",11:06PM,6:27AM,384.0,57.0,20.0,441.0,78.0,262.0,44.0,57.0
2022-07-06,9.6,9.0,9.5,9.3,8.9,9.2,9.6,9.8,,,,,,,,,,,,,,,"4,015","12,303",9.84,48,517,320,52,70,"2,591",2:24AM,10:25AM,444.0,37.0,0.0,481.0,,,,85.0
2022-07-07,7.8,7.9,7.0,8.3,7.8,7.4,8.0,8.6,,,,,,,,,,,,,,,"2,904","6,082",4.86,2,842,241,14,0,"1,200",2:35AM,8:18AM,309.0,34.0,14.0,343.0,69.0,205.0,35.0,87.0
2022-07-08,8.6,8.6,8.6,8.5,8.8,8.7,8.7,8.7,,8.7,,,,,,,,8.8,,,,,"2,773","8,458",6.77,1,846,107,20,43,"1,036",1:29AM,8:34AM,379.0,45.0,3.0,424.0,,,,109.0
2022-07-09,9.0,9.2,9.0,9.0,8.5,9.2,8.9,8.8,,9.0,,,,,,,,8.3,,,,,"3,806","20,795",16.33,54,658,325,70,25,"2,359",1:32AM,7:34AM,314.0,48.0,16.0,362.0,65.0,206.0,43.0,63.0
2022-07-10,8.0,7.7,8.4,8.1,7.6,7.9,7.8,8.7,,7.8,,,,,,,,7.7,,,,,"2,746","5,550",4.44,0,797,260,0,0,"1,078",12:56AM,6:08AM,280.0,32.0,0.0,312.0,,,,76.0
2022-07-11,9.2,8.3,8.5,9.2,8.8,9.0,7.8,9.7,,,,,,,,,,,,,,,"2,360","3,548",2.84,0,"1,030",87,5,13,515,1:28AM,6:33AM,267.0,38.0,14.0,305.0,62.0,152.0,53.0,76.0
2022-07-12,8.2,,8.7,8.5,8.9,8.8,8.5,7.8,,8.8,,,,,,,,8.0,,,,,"2,738","4,584",3.67,0,669,157,24,1,921,12:47AM,10:36AM,516.0,73.0,28.0,589.0,95.0,349.0,72.0,99.0
2022-07-13,,,,,,,,,,,,,,,,,,,,,,,"3,175","5,210",4.17,0,781,184,45,30,"1,452",1:27AM,8:07AM,348.0,52.0,15.0,400.0,61.0,250.0,37.0,100.0
2022-07-14,8.0,8.3,7.0,7.8,8.0,7.5,,8.2,,8.8,,,,,,,,7.0,,,,,"2,713","4,947",3.96,0,790,200,10,1,942,1:14AM,8:33AM,386.0,53.0,12.0,439.0,43.0,249.0,94.0,
2022-07-15,8.6,8.7,8.0,8.3,8.6,8.8,8.6,8.2,,8.3,,,,,,,,7.2,,,,,"2,970","8,560",6.85,1,794,283,0,0,"1,323",1:55AM,7:58AM,330.0,25.0,1.0,363.0,,,,49.0
2022-07-16,9.0,9.3,8.9,8.8,9.2,9.3,8.8,9.0,,9.2,,,,,,,,8.0,,,,,"3,505","17,592",12.18,3,767,214,80,37,"1,912",2:27AM,8:09AM,321.0,21.0,1.0,342.0,,,,76.0
2022-07-17,9.2,8.6,9.1,9.3,9.5,9.3,9.0,8.8,,,,,,,,,,,,,,,"3,140","8,677",6.94,0,832,253,43,1,"1,473",2:16AM,7:27AM,281.0,30.0,14.0,311.0,61.0,198.0,22.0,105.0
2022-07-18,8.9,9.2,8.2,9.3,8.8,8.5,8.7,8.9,,7.8,,,9.0,,,,,7.8,,,,,"3,461","8,419",6.74,1,736,259,49,19,"1,758",5:19AM,11:36AM,308.0,69.0,11.0,377.0,85.0,166.0,57.0,69.0
2022-07-19,8.8,9.0,8.8,8.8,9.2,8.6,8.7,8.3,,7.3,,,8.0,,,,,8.7,,,,,"4,200","12,426",9.94,4,507,310,92,63,"2,793",3:27AM,11:16AM,455.0,13.0,0.0,468.0,,,,48.0
2022-07-20,8.8,,8.6,9.0,9.0,8.4,8.5,9.0,,9.0,,,,,,,,8.0,,,,,"3,312","5,867",4.69,0,864,192,32,38,"1,538",4:08AM,9:22AM,276.0,38.0,19.0,314.0,41.0,178.0,57.0,54.0
2022-07-21,8.3,8.5,8.0,8.5,8.8,9.0,8.5,7.7,,9.5,,,,,,,,7.0,,,,,"3,440","7,558",6.05,1,879,184,71,6,"1,417",2:55AM,7:56AM,266.0,34.0,15.0,300.0,67.0,170.0,29.0,164.0
2022-07-22,9.5,9.7,8.7,9.4,8.9,9.5,9.3,9.5,,8.0,,,,,,,,8.5,,,,,"4,189","14,556",11.64,2,"1,440",0,0,0,0,,,,,,,,,,61.0
2022-07-23,8.1,8.7,8.0,8.2,8.0,8.5,8.4,8.3,,9.2,,,,,,,,7.9,,,,,"3,578","6,739",5.39,0,"1,440",0,0,0,0,,,,,,,,,,101.0
2022-07-24,7.8,,7.8,7.7,8.2,8.0,7.8,8.1,,8.5,,,,,,,,7.8,,,,,"2,968","6,671",5.34,0,"1,440",0,0,0,0,,,,,,,,,,101.0
2022-07-25,8.3,,,,,,,,,,,,,,,,,,,,,,"1,921","1,230",0.98,0,"1,440",0,0,0,0,,,,,,,,,,102.0
2022-07-26,,,6.0,8.0,7.0,6.0,,9.0,,,,,,,,,,,,,,,"3,227","7,821",6.26,3,"1,440",0,0,0,0,,,,,,,,,,86.0
2022-07-27,9.0,7.8,9.5,8.8,9.2,9.7,9.0,9.0,,,,,,,,,,,,,,,"4,818","21,493",17.78,16,"1,440",0,0,0,0,,,,,,,,,,90.0
2022-07-28,9.0,7.8,8.8,9.0,8.5,8.7,8.9,9.8,,,,,,,,,,,,,,,"4,355","13,088",10.39,16,"1,440",0,0,0,0,,,,,,,,,,16.0
2022-07-29,7.5,7.8,7.0,7.4,7.9,7.4,8.2,7.0,,,,,7.0,6.0,,,,8.0,,,,,"3,752","8,074",6.46,0,"1,440",0,0,0,0,,,,,,,,,,64.0
2022-07-30,8.3,8.5,8.7,8.0,7.8,9.0,8.2,8.1,,,,,,,,,,,,,,,"3,178","9,609",7.67,0,"1,440",0,0,0,0,,,,,,,,,,113.0
2022-07-31,7.0,,7.4,7.0,8.0,7.7,8.0,7.0,,9.5,,,,,,,,7.5,,,,,"2,438","2,758",2.21,0,"1,440",0,0,0,0,,,,,,,,,,129.0
2022-08-01,7.8,,7.4,,,,,,,,,,,,,,,,,,,,"3,154","6,219",4.98,0,"1,440",0,0,0,0,,,,,,,,,,168.0
2022-08-02,8.8,8.0,8.7,9.0,8.6,8.8,8.8,8.6,9.0,7.5,,,,,,,,,,,,,"2,566","4,139",3.31,1,"1,440",0,0,0,0,,,,,,,,,,89.0
2022-08-03,9.1,8.9,9.3,9.1,9.0,9.0,9.0,8.9,9.2,8.0,,,,,,,,,,,,,"2,340","3,802",3.04,1,"1,440",0,0,0,0,,,,,,,,,,95.0
2022-08-04,9.1,9.2,9.3,8.9,9.1,9.4,9.0,9.0,9.8,7.8,,,,,,,,,,,,,"3,835","13,731",11.08,1,"1,440",0,0,0,0,,,,,,,,,,153.0
2022-08-05,8.6,8.9,7.9,,8.6,,,8.8,,,7.5,,,,,,,,,,,,"3,211","9,397",7.51,5,"1,440",0,0,0,0,,,,,,,,,,109.0
