Date,overall,sociability,health,happiness,energy,positivity,moment,uniqueness,excitement,productivity,integrity,purpose,bottles drank,times peed,time slept,time awaked,total sleep time,effectiveness (Am I SPENDING the RIGHT TIME),Sleep Min,Sleep Hr,Awake Hr,% of planned output,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,Time slept,Time woken,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep,scrobbles
2022-01-24,9.4,9.5,9.1,9.4,9.2,,,,,7.7,,,,,,,,8.6,,,,90.0,"4,002","16,071",12.59,16,704,270,57,73,"2,426",12:07AM,5:44AM,302.0,34.0,13.0,336.0,57.0,208.0,37.0,36.0
2022-01-25,8.4,9.0,8.2,8.5,8.0,,,,,7.8,,,,,3.0,8.0,5.0,7.0,1.0,3.0,8.0,,"3,687","13,234",10.38,13,707,281,42,29,"2,027",1:55AM,8:16AM,349.0,32.0,16.0,381.0,100.0,175.0,74.0,75.0
2022-01-26,8.6,9.0,9.3,9.0,7.9,,,,,8.7,,,,,1.7,7.5,5.8,8.0,40.0,1.0,7.0,,"3,870","14,409",11.31,20,761,260,71,52,"2,299",3:05AM,8:01AM,268.0,28.0,11.0,296.0,65.0,142.0,61.0,106.0
2022-01-27,8.6,9.0,8.2,9.0,8.0,,,,,7.8,,,,,,,,8.4,,,,,"1,925",241,0.19,0,"1,435",5,0,0,26,,,,,,,,,,137.0
2022-01-28,9.0,9.0,8.7,9.0,9.0,,,,,9.0,,,,,2.7,11.3,8.6,9.0,40.0,2.0,11.0,100.0,"3,675","12,126",9.5,19,"1,121",211,71,37,"1,959",,,,,,,,,,138.0
2022-01-29,7.9,8.0,8.6,8.0,8.8,,,,,7.5,,,,,1.7,7.0,5.3,,40.0,1.0,7.0,,"4,485","14,406",11.18,5,427,276,149,72,"3,097",2:39AM,11:16AM,465.0,51.0,18.0,516.0,101.0,294.0,70.0,84.0
2022-01-30,8.0,8.8,8.1,8.2,9.3,,,,,8.7,,,,,0.6,6.0,5.4,6.0,35.0,0.0,6.0,,"3,836","11,488",8.75,9,673,295,59,50,"2,254",1:51AM,7:54AM,321.0,42.0,21.0,363.0,92.0,229.0,0.0,
2022-01-31,8.0,8.3,8.0,8.0,9.2,,,,,8.0,,,,,1.7,8.0,6.3,8.7,40.0,1.0,8.0,,"4,174","15,539",11.87,18,698,329,78,59,"2,686",12:55AM,5:31AM,256.0,20.0,2.0,276.0,,,,39.0
2022-02-01,,,,,,,,,,,,,,,0.3,5.8,5.5,,15.0,0.0,5.0,,"3,357","11,380",8.89,16,733,249,42,24,"1,730",1:27AM,7:59AM,350.0,42.0,17.0,392.0,108.0,215.0,27.0,83.0
2022-02-02,8.1,8.1,7.0,8.7,7.3,,,,,,,,,,0.7,6.7,6.0,,40.0,0.0,6.0,,"4,640","20,903",16.2,26,586,277,118,118,"3,277",12:05AM,5:46AM,302.0,39.0,19.0,341.0,41.0,227.0,34.0,82.0
2022-02-03,9.1,8.2,8.8,9.4,8.9,,,,,,,,,,1.0,7.0,6.0,,1.0,1.0,7.0,,"4,299","21,671",17.0,31,662,312,53,96,"2,864",12:52AM,6:09AM,294.0,23.0,17.0,317.0,64.0,154.0,76.0,40.0
2022-02-04,8.9,9.0,9.0,9.2,9.0,,,,,,,,,,,,,,,,,,"3,901","16,511",12.96,35,644,387,37,15,"2,395",12:59AM,6:56AM,325.0,32.0,11.0,357.0,77.0,155.0,93.0,61.0
2022-02-05,9.5,9.5,8.8,9.6,9.0,,,,,6.0,,,,,5.1,11.8,6.7,7.0,5.0,5.0,11.0,,"4,010","22,023",17.29,11,537,204,45,151,"2,566",2:24AM,10:47AM,454.0,49.0,24.0,503.0,112.0,283.0,59.0,82.0
2022-02-06,8.0,8.5,7.9,,7.3,,,,,8.6,,,,,,,,7.0,,,,,"2,928","8,064",6.33,10,791,265,0,0,"1,284",5:09AM,11:33AM,347.0,37.0,14.0,384.0,68.0,215.0,64.0,63.0
2022-02-07,7.7,7.8,7.6,7.8,8.3,,,,,7.0,,,,,,,,7.0,,,,,"3,656","13,664",10.64,24,765,391,35,10,"2,192",3:33AM,7:33AM,212.0,27.0,11.0,239.0,41.0,131.0,40.0,127.0
2022-02-08,8.2,8.5,7.9,8.0,8.0,,,,,9.1,,,,,,,,8.0,,,,,"2,835","8,331",6.48,19,874,225,4,5,"1,138",1:10AM,6:42AM,285.0,47.0,11.0,332.0,60.0,192.0,33.0,129.0
2022-02-09,9.1,9.0,8.8,9.3,8.8,,,,,9.0,,,,,1.9,,,7.9,55.0,1.0,,,"2,551","6,328",4.97,8,996,139,11,9,802,2:14AM,6:59AM,251.0,34.0,9.0,285.0,41.0,173.0,37.0,81.0
2022-02-10,,9.5,9.0,8.3,9.0,,,,,8.0,,,,,1.4,6.8,5.4,,25.0,1.0,6.0,,"1,904",0,0.0,0,"1,440",0,0,0,0,,,,,,,,,,159.0
2022-02-11,,,,,,,,,,,,,,,3.3,10.8,7.5,,15.0,3.0,10.0,,"3,362","12,922",10.08,22,816,248,43,25,"1,769",1:38AM,6:47AM,284.0,24.0,14.0,308.0,59.0,151.0,74.0,132.0
2022-02-12,9.0,9.6,8.8,9.1,8.4,,,,,,,,,,4.7,12.3,7.6,,40.0,4.0,12.0,,"3,883","22,000",17.27,15,630,186,61,120,"2,392",3:19AM,10:43AM,400.0,43.0,16.0,443.0,102.0,226.0,72.0,119.0
