Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
2022-04-12 6:23AM,2022-04-12 10:24AM,214,27,13,241,49.0,118.0,47.0
2022-04-10 2:50PM,2022-04-10 8:25PM,300,35,10,335,87.0,167.0,46.0
2022-04-09 5:02AM,2022-04-09 2:03PM,507,31,2,541,,,
2022-04-08 4:18AM,2022-04-08 8:35AM,231,26,13,257,45.0,137.0,49.0
2022-04-07 3:28AM,2022-04-07 9:14AM,288,57,11,345,55.0,175.0,58.0
2022-04-05 4:54AM,2022-04-05 11:17AM,319,64,16,383,40.0,209.0,70.0
2022-04-04 2:15AM,2022-04-04 8:19AM,332,26,3,364,,,
2022-04-03 5:27AM,2022-04-03 10:46AM,269,50,14,319,59.0,126.0,84.0
2022-04-02 6:17AM,2022-04-02 12:13PM,325,31,1,356,,,
2022-04-01 1:51AM,2022-04-01 7:50AM,305,54,20,359,41.0,249.0,15.0
2022-06-30 4:56AM,2022-06-30 8:58AM,235,4,1,242,,,
2022-06-29 5:24AM,2022-06-29 10:59AM,302,33,14,335,62.0,190.0,50.0
2022-06-28 4:08AM,2022-06-28 9:38AM,295,34,15,329,33.0,236.0,26.0
2022-06-27 1:26AM,2022-06-27 8:40AM,382,52,21,434,93.0,244.0,45.0
2022-06-25 10:54PM,2022-06-26 5:09AM,336,38,15,374,48.0,237.0,51.0
2022-06-25 12:19AM,2022-06-25 4:37AM,251,7,1,258,,,
2022-06-24 2:18AM,2022-06-24 9:33AM,388,47,17,435,73.0,250.0,65.0
2022-06-23 3:08AM,2022-06-23 8:51AM,318,25,14,343,79.0,176.0,63.0
2022-06-22 1:37AM,2022-06-22 8:36AM,385,34,20,419,67.0,273.0,45.0
2022-06-21 12:16AM,2022-06-21 5:30AM,311,2,0,313,,,
2022-06-19 11:10PM,2022-06-20 6:33AM,398,45,20,443,114.0,235.0,49.0
2022-06-18 11:20PM,2022-06-19 5:12AM,310,42,18,352,56.0,204.0,50.0
2022-06-17 11:30PM,2022-06-18 4:58AM,301,27,2,328,,,
2022-06-17 2:18AM,2022-06-17 8:28AM,332,38,21,370,56.0,231.0,45.0
2022-06-16 1:06AM,2022-06-16 8:03AM,403,14,2,417,,,
2022-06-15 12:44AM,2022-06-15 6:57AM,345,28,15,373,73.0,229.0,43.0
2022-06-14 1:38AM,2022-06-14 4:24AM,157,6,1,166,,,
2022-06-13 2:24AM,2022-06-13 9:14AM,361,48,16,409,97.0,212.0,52.0
2022-06-12 1:45AM,2022-06-12 7:58AM,328,44,27,372,42.0,249.0,37.0
2022-06-11 12:50AM,2022-06-11 7:56AM,381,45,23,426,91.0,236.0,54.0
2022-06-10 2:26AM,2022-06-10 8:01AM,297,38,16,335,43.0,212.0,42.0
