Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2022-03-30 10:12PM","2022-03-31 7:44AM","482","90","29","572","39","373","70"
"2022-03-30 2:23AM","2022-03-30 8:55AM","332","60","22","392","51","225","56"
"2022-03-29 1:51AM","2022-03-29 7:43AM","313","39","19","352","73","206","34"
"2022-03-28 3:40AM","2022-03-28 7:58AM","232","26","12","258","67","108","57"
"2022-03-27 4:17AM","2022-03-27 10:12AM","309","46","16","355","70","203","36"
"2022-03-26 3:07AM","2022-03-26 10:24AM","415","20","1","436","N/A","N/A","N/A"
"2022-03-25 3:58AM","2022-03-25 9:43AM","327","18","1","345","N/A","N/A","N/A"
"2022-03-24 5:05AM","2022-03-24 10:02AM","261","36","13","297","66","150","45"
"2022-03-22 2:11AM","2022-03-22 9:22AM","372","59","22","431","81","227","64"
"2022-03-21 8:10AM","2022-03-21 11:29AM","178","21","8","199","44","107","27"
"2022-03-20 3:01AM","2022-03-20 10:33AM","397","55","24","452","99","232","66"
"2022-03-19 3:14AM","2022-03-19 11:19AM","425","60","15","485","101","260","64"
"2022-03-17 11:42PM","2022-03-18 6:30AM","357","51","18","408","93","186","78"
"2022-03-17 2:52AM","2022-03-17 8:35AM","298","45","14","343","63","183","52"
"2022-03-16 1:54AM","2022-03-16 7:45AM","305","45","4","350","N/A","N/A","N/A"
"2022-03-15 1:53AM","2022-03-15 7:46AM","306","47","5","353","N/A","N/A","N/A"
"2022-03-14 2:24AM","2022-03-14 8:34AM","344","26","1","370","N/A","N/A","N/A"
"2022-03-13 4:16AM","2022-03-13 9:24AM","269","38","9","307","35","216","18"
"2022-03-12 4:24AM","2022-03-12 11:34AM","376","54","19","430","111","182","83"
"2022-03-11 6:05AM","2022-03-11 11:46AM","296","45","12","341","72","161","63"
"2022-03-10 6:35AM","2022-03-10 12:39PM","318","46","15","364","106","156","56"
"2022-03-07 3:02AM","2022-03-07 7:03AM","211","30","12","241","10","162","39"
"2022-03-06 3:01AM","2022-03-06 10:30AM","410","39","23","449","107","221","82"
"2022-03-04 1:16AM","2022-03-04 7:41AM","342","43","19","385","83","220","39"
"2022-03-03 4:39AM","2022-03-03 7:23AM","154","10","2","164","N/A","N/A","N/A"
"2022-03-02 3:07AM","2022-03-02 6:59AM","226","5","1","231","N/A","N/A","N/A"
"2022-03-01 3:06AM","2022-03-01 8:46AM","297","43","14","340","64","182","51"

