Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2022-07-21 2:55AM","2022-07-21 7:56AM","266","34","15","300","67","170","29"
"2022-07-20 4:08AM","2022-07-20 9:22AM","276","38","19","314","41","178","57"
"2022-07-19 3:27AM","2022-07-19 11:16AM","455","13","0","468","N/A","N/A","N/A"
"2022-07-18 5:19AM","2022-07-18 11:36AM","308","69","11","377","85","166","57"
"2022-07-17 2:16AM","2022-07-17 7:27AM","281","30","14","311","61","198","22"
"2022-07-16 2:27AM","2022-07-16 8:09AM","321","21","1","342","N/A","N/A","N/A"
"2022-07-15 1:55AM","2022-07-15 7:58AM","330","25","1","363","N/A","N/A","N/A"
"2022-07-14 1:14AM","2022-07-14 8:33AM","386","53","12","439","43","249","94"
"2022-07-13 1:27AM","2022-07-13 8:07AM","348","52","15","400","61","250","37"
"2022-07-12 12:47AM","2022-07-12 10:36AM","516","73","28","589","95","349","72"
"2022-07-11 1:28AM","2022-07-11 6:33AM","267","38","14","305","62","152","53"
"2022-07-10 7:05PM","2022-07-10 8:16PM","67","4","1","71","N/A","N/A","N/A"
"2022-07-10 12:56AM","2022-07-10 6:08AM","280","32","0","312","N/A","N/A","N/A"
"2022-07-09 1:32AM","2022-07-09 7:34AM","314","48","16","362","65","206","43"
"2022-07-08 1:29AM","2022-07-08 8:34AM","379","45","3","424","N/A","N/A","N/A"
"2022-07-07 2:35AM","2022-07-07 8:18AM","309","34","14","343","69","205","35"
"2022-07-06 2:24AM","2022-07-06 10:25AM","444","37","0","481","N/A","N/A","N/A"
"2022-07-04 11:06PM","2022-07-05 6:27AM","384","57","20","441","78","262","44"
"2022-07-03 10:09PM","2022-07-04 4:57AM","352","55","18","407","92","183","77"
"2022-07-02 5:57PM","2022-07-02 10:50PM","281","12","0","293","N/A","N/A","N/A"
"2022-07-01 5:43PM","2022-07-01 10:42PM","264","35","20","299","52","155","57"
"2022-07-01 3:43AM","2022-07-01 5:21AM","98","0","0","98","N/A","N/A","N/A"

