Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2022-05-31 1:29AM","2022-05-31 7:25AM","309","47","18","356","91","163","55"
"2022-05-30 12:13AM","2022-05-30 5:58AM","313","32","15","345","62","220","31"
"2022-05-29 4:15AM","2022-05-29 10:53AM","351","47","13","398","96","210","45"
"2022-05-28 2:27AM","2022-05-28 7:55AM","289","39","16","328","31","217","41"
"2022-05-27 1:35AM","2022-05-27 7:51AM","338","38","23","376","57","188","93"
"2022-05-26 1:51AM","2022-05-26 7:53AM","341","20","1","362","N/A","N/A","N/A"
"2022-05-25 12:55AM","2022-05-25 6:59AM","320","44","16","364","65","232","23"
"2022-05-24 2:31AM","2022-05-24 8:57AM","341","45","18","386","71","208","62"
"2022-05-23 12:36AM","2022-05-23 7:46AM","376","54","23","430","94","234","48"
"2022-05-22 3:06AM","2022-05-22 8:58AM","348","4","1","352","N/A","N/A","N/A"
"2022-05-21 4:49AM","2022-05-21 10:29AM","328","12","2","340","N/A","N/A","N/A"
"2022-05-20 12:51AM","2022-05-20 7:59AM","380","48","20","428","99","231","50"
"2022-05-19 1:52AM","2022-05-19 7:53AM","333","27","1","361","N/A","N/A","N/A"
"2022-05-18 4:15AM","2022-05-18 9:56AM","304","37","14","341","97","191","16"
"2022-05-17 1:25AM","2022-05-17 8:19AM","373","40","12","413","85","257","31"
"2022-05-16 12:56AM","2022-05-16 7:58AM","373","49","22","422","102","224","47"
"2022-05-15 4:15AM","2022-05-15 9:01AM","259","26","12","285","72","134","53"
"2022-05-14 4:09AM","2022-05-14 9:57AM","308","39","16","347","87","142","79"
"2022-05-13 2:43AM","2022-05-13 9:43AM","366","54","23","420","60","238","68"
"2022-05-12 12:35AM","2022-05-12 8:00AM","398","47","23","445","111","203","84"
"2022-05-11 3:53AM","2022-05-11 9:03AM","278","31","14","309","59","153","66"
"2022-05-10 1:24AM","2022-05-10 9:19AM","430","44","25","474","98","286","46"
"2022-05-09 2:08AM","2022-05-09 7:36AM","296","32","18","328","86","159","51"
"2022-05-08 1:36AM","2022-05-08 7:33AM","354","3","0","357","N/A","N/A","N/A"
"2022-05-07 2:57AM","2022-05-07 9:17AM","333","47","13","380","94","204","35"
"2022-05-06 12:26AM","2022-05-06 5:22AM","275","21","11","296","78","158","39"
"2022-05-04 11:51PM","2022-05-05 7:28AM","404","53","23","457","62","285","57"
"2022-05-04 1:29AM","2022-05-04 8:32AM","394","29","20","423","104","235","55"
"2022-05-03 2:27AM","2022-05-03 8:08AM","324","17","3","341","N/A","N/A","N/A"
"2022-05-02 2:11AM","2022-05-02 8:50AM","361","37","12","398","107","200","54"
"2022-05-01 4:07AM","2022-05-01 9:08AM","266","35","8","301","71","144","51"

