Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2022-09-28 11:35PM","2022-09-29 6:59AM","394","50","2","444","N/A","N/A","N/A"
"2022-09-28 12:56AM","2022-09-28 7:21AM","339","46","17","385","104","170","65"
"2022-09-27 1:27AM","2022-09-27 5:58AM","237","34","18","271","29","180","28"
"2022-09-26 3:13AM","2022-09-26 8:53AM","316","24","3","340","N/A","N/A","N/A"
"2022-09-25 5:30AM","2022-09-25 10:45AM","308","7","0","315","N/A","N/A","N/A"
"2022-09-24 3:30AM","2022-09-24 9:13AM","302","40","21","342","56","185","61"
"2022-09-23 1:45AM","2022-09-23 8:57AM","395","37","16","432","131","210","54"
"2022-09-22 4:19AM","2022-09-22 10:08AM","317","32","20","349","86","178","53"
"2022-09-21 12:37AM","2022-09-21 6:53AM","333","43","12","376","102","168","63"
"2022-09-20 2:28AM","2022-09-20 9:46AM","395","43","19","438","103","216","76"
"2022-09-19 2:50AM","2022-09-19 3:55AM","60","5","0","65","N/A","N/A","N/A"
"2022-09-18 2:48AM","2022-09-18 3:52AM","61","3","1","64","N/A","N/A","N/A"
"2022-09-16 3:08AM","2022-09-16 6:47AM","215","4","1","219","N/A","N/A","N/A"
"2022-09-15 12:58AM","2022-09-15 6:46AM","305","43","22","348","57","167","81"
"2022-09-14 2:38AM","2022-09-14 8:11AM","294","39","20","333","51","175","68"
"2022-09-12 11:57PM","2022-09-13 6:44AM","341","66","15","407","83","192","66"
"2022-09-12 1:22AM","2022-09-12 6:31AM","294","15","1","309","N/A","N/A","N/A"
"2022-09-11 12:39AM","2022-09-11 7:30AM","379","32","1","411","N/A","N/A","N/A"
"2022-09-10 12:51AM","2022-09-10 7:42AM","351","60","6","411","N/A","N/A","N/A"
"2022-09-08 11:49PM","2022-09-09 6:14AM","341","43","20","384","93","195","53"
"2022-09-06 9:22AM","2022-09-06 3:46PM","324","60","32","384","46","229","49"
"2022-09-05 11:30AM","2022-09-05 7:28PM","430","47","19","477","111","276","43"
"2022-09-04 7:14AM","2022-09-04 9:05AM","106","5","0","111","N/A","N/A","N/A"
"2022-09-03 4:43AM","2022-09-03 11:01AM","341","37","19","378","73","218","50"
"2022-09-02 1:48AM","2022-09-02 9:25AM","411","46","32","457","100","242","69"
"2022-09-01 12:59AM","2022-09-01 6:59AM","296","64","19","360","41","209","46"

