Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2022-02-28 1:46AM","2022-02-28 6:57AM","273","38","12","311","61","178","34"
"2022-02-27 3:33AM","2022-02-27 9:11AM","306","31","19","337","20","223","63"
"2022-02-26 3:21AM","2022-02-26 9:16AM","327","28","19","355","89","185","53"
"2022-02-25 2:20AM","2022-02-25 10:29AM","433","55","25","488","110","244","79"
"2022-02-24 3:45AM","2022-02-24 9:33AM","337","11","1","348","N/A","N/A","N/A"
"2022-02-23 2:43AM","2022-02-23 4:37AM","105","9","1","114","N/A","N/A","N/A"
"2022-02-22 2:01AM","2022-02-22 7:00AM","292","7","0","299","N/A","N/A","N/A"
"2022-02-21 1:03AM","2022-02-21 12:09PM","605","60","30","665","154","334","117"
"2022-02-19 3:57AM","2022-02-19 9:55AM","312","21","2","357","N/A","N/A","N/A"
"2022-02-18 12:26AM","2022-02-18 5:46AM","282","37","18","319","75","180","27"
"2022-02-17 1:07AM","2022-02-17 8:21AM","378","56","22","434","68","264","46"
"2022-02-16 1:23AM","2022-02-16 7:14AM","323","28","1","351","N/A","N/A","N/A"
"2022-02-15 1:15AM","2022-02-15 6:37AM","276","46","16","322","67","203","6"
"2022-02-14 1:04AM","2022-02-14 4:58AM","207","27","9","234","46","142","19"
"2022-02-12 3:19AM","2022-02-12 10:43AM","400","43","16","443","102","226","72"
"2022-02-11 1:38AM","2022-02-11 6:47AM","284","24","14","308","59","151","74"
"2022-02-09 2:14AM","2022-02-09 6:59AM","251","34","9","285","41","173","37"
"2022-02-08 1:10AM","2022-02-08 6:42AM","285","47","11","332","60","192","33"
"2022-02-07 3:33AM","2022-02-07 7:33AM","212","27","11","239","41","131","40"
"2022-02-06 5:09AM","2022-02-06 11:33AM","347","37","14","384","68","215","64"
"2022-02-05 2:24AM","2022-02-05 10:47AM","454","49","24","503","112","283","59"
"2022-02-04 12:59AM","2022-02-04 6:56AM","325","32","11","357","77","155","93"
"2022-02-03 12:52AM","2022-02-03 6:09AM","294","23","17","317","64","154","76"
"2022-02-02 12:05AM","2022-02-02 5:46AM","302","39","19","341","41","227","34"
"2022-02-01 1:27AM","2022-02-01 7:59AM","350","42","17","392","108","215","27"

