Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2022-01-31 12:55AM","2022-01-31 5:31AM","256","20","2","276","N/A","N/A","N/A"
"2022-01-30 1:51AM","2022-01-30 7:54AM","321","42","21","363","92","229","0"
"2022-01-29 2:39AM","2022-01-29 11:16AM","465","51","18","516","101","294","70"
"2022-01-26 3:05AM","2022-01-26 8:01AM","268","28","11","296","65","142","61"
"2022-01-25 1:55AM","2022-01-25 8:16AM","349","32","16","381","100","175","74"
"2022-01-24 12:07AM","2022-01-24 5:44AM","302","34","13","336","57","208","37"
"2022-01-23 1:11AM","2022-01-23 6:58AM","312","35","11","347","75","182","55"
"2022-01-22 12:40AM","2022-01-22 8:10AM","399","51","20","450","98","250","51"
"2022-01-21 1:54AM","2022-01-21 5:43AM","220","8","1","228","N/A","N/A","N/A"
"2022-01-20 12:38AM","2022-01-20 6:59AM","352","28","15","380","74","210","68"
"2022-01-19 12:23AM","2022-01-19 7:37AM","376","58","20","434","93","183","100"
"2022-01-18 12:32AM","2022-01-18 5:42AM","283","27","16","310","48","179","56"
"2022-01-17 12:26AM","2022-01-17 6:31AM","345","19","1","365","N/A","N/A","N/A"
"2022-01-15 10:53PM","2022-01-16 7:14AM","467","34","21","501","147","250","70"
"2022-01-15 7:41AM","2022-01-15 8:52AM","70","1","0","71","N/A","N/A","N/A"
"2022-01-14 1:46PM","2022-01-14 7:01PM","294","21","3","315","N/A","N/A","N/A"
"2022-01-11 7:15AM","2022-01-11 3:22PM","424","63","32","487","96","286","42"
"2022-01-10 7:50AM","2022-01-10 3:41PM","434","37","29","471","65","305","64"
"2022-01-09 7:18AM","2022-01-09 11:23AM","236","8","1","244","N/A","N/A","N/A"
"2022-01-08 7:48AM","2022-01-08 1:15PM","316","8","1","326","N/A","N/A","N/A"
"2022-01-07 7:13AM","2022-01-07 1:03PM","339","11","0","350","N/A","N/A","N/A"
"2022-01-06 6:56AM","2022-01-06 1:43PM","369","38","24","407","90","191","88"
"2022-01-05 5:21AM","2022-01-05 11:27AM","340","26","1","366","N/A","N/A","N/A"
"2022-01-04 5:07AM","2022-01-04 10:21AM","264","49","10","313","63","149","52"
"2022-01-02 2:42AM","2022-01-02 9:37AM","385","30","1","415","N/A","N/A","N/A"
"2022-01-01 6:10AM","2022-01-01 12:51PM","346","54","26","400","66","234","46"

