Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2022-11-27 3:07AM","2022-11-27 8:14AM","292","14","1","306","N/A","N/A","N/A"
"2022-11-26 2:09AM","2022-11-26 8:17AM","359","5","0","368","N/A","N/A","N/A"
"2022-11-24 1:44AM","2022-11-24 7:33AM","336","13","0","349","N/A","N/A","N/A"
"2022-11-23 12:24AM","2022-11-23 6:31AM","339","28","2","367","N/A","N/A","N/A"
"2022-11-22 12:43AM","2022-11-22 4:31AM","219","9","1","228","N/A","N/A","N/A"
"2022-11-21 2:38AM","2022-11-21 9:31AM","391","21","1","412","N/A","N/A","N/A"
"2022-11-08 3:35AM","2022-11-08 10:02AM","378","9","0","387","N/A","N/A","N/A"
"2022-11-07 1:41AM","2022-11-07 8:03AM","364","18","0","382","N/A","N/A","N/A"
"2022-11-06 1:16PM","2022-11-06 3:21PM","122","3","1","125","N/A","N/A","N/A"
"2022-11-06 1:22AM","2022-11-06 7:38AM","358","18","0","376","N/A","N/A","N/A"
"2022-11-05 3:24AM","2022-11-05 8:58AM","328","6","0","334","N/A","N/A","N/A"
"2022-11-04 12:05AM","2022-11-04 6:49AM","364","40","1","404","N/A","N/A","N/A"

