Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2022-12-27 1:07AM","2022-12-27 9:29AM","462","37","0","502","N/A","N/A","N/A"
"2022-12-26 1:21AM","2022-12-26 7:19AM","334","23","2","357","N/A","N/A","N/A"
"2022-12-24 12:57AM","2022-12-24 5:32AM","249","26","8","275","N/A","N/A","N/A"
"2022-12-22 5:25PM","2022-12-23 4:57AM","654","38","3","692","N/A","N/A","N/A"
"2022-12-18 1:10PM","2022-12-18 2:55PM","100","5","1","105","N/A","N/A","N/A"
"2022-12-18 1:16AM","2022-12-18 9:36AM","479","21","2","500","N/A","N/A","N/A"

